company,symbol,ltp,change_value,change_percent,url,page_no,run_date
Reliance Industries Ltd,RELIANCE,₹1340.0,30.65,2.34,https://www.angelone.in/stocks/reliance-industries-ltd,1,2026-06-22
HDFC Bank Ltd,HDFCBANK,₹786.85,6.85,0.88,https://www.angelone.in/stocks/hdfc-bank-ltd,1,2026-06-22
Bharti Airtel Ltd,BHARTIARTL,₹1919.5,8.70,0.46,https://www.angelone.in/stocks/bharti-airtel-ltd,1,2026-06-22
ICICI Bank Ltd,ICICIBANK,₹1359.0,12.20,0.91,https://www.angelone.in/stocks/icici-bank-ltd,1,2026-06-22
State Bank of India,SBIN,₹1035.9,0.85,0.08,https://www.angelone.in/stocks/state-bank-of-india,1,2026-06-22
Tata Consultancy Services Ltd,TCS,₹2130.5,4.10,0.19,https://www.angelone.in/stocks/tata-consultancy-services-ltd,1,2026-06-22
Bajaj Finance Ltd,BAJFINANCE,₹967.4,6.10,0.63,https://www.angelone.in/stocks/bajaj-finance-ltd,1,2026-06-22
Larsen & Toubro Ltd,LT,₹4218.8,9.20,0.22,https://www.angelone.in/stocks/larsen-toubro-ltd,1,2026-06-22
Life Insurance Corporation of India,LICI,₹440.65,0.55,0.12,https://www.angelone.in/stocks/lic-life-insurance-corporation-of-india-ltd,1,2026-06-22
Hindustan Unilever Ltd,HINDUNILVR,₹2198.0,2.10,0.10,https://www.angelone.in/stocks/hindustan-unilever-ltd,1,2026-06-22
Adani Power Ltd,ADANIPOWER,₹229.9,1.55,-0.67,https://www.angelone.in/stocks/adani-power-ltd,2,2026-06-22
Sun Pharmaceutical Industries Ltd,SUNPHARMA,₹1844.75,7.60,0.41,https://www.angelone.in/stocks/sun-pharmaceutical-industries-ltd,2,2026-06-22
Infosys Ltd,INFY,₹1063.95,12.10,1.15,https://www.angelone.in/stocks/infosys-ltd,2,2026-06-22
Adani Ports & Special Economic Zone Ltd,ADANIPORTS,₹1814.7,20.35,-1.11,https://www.angelone.in/stocks/adani-ports-special-economic-zone-ltd,2,2026-06-22
Axis Bank Ltd,AXISBANK,₹1361.0,3.20,0.24,https://www.angelone.in/stocks/axis-bank-ltd,2,2026-06-22
Maruti Suzuki India Ltd,MARUTI,₹13414.55,21.50,0.16,https://www.angelone.in/stocks/maruti-suzuki-india-ltd,2,2026-06-22
Kotak Mahindra Bank Ltd,KOTAKBANK,₹400.2,1.30,0.33,https://www.angelone.in/stocks/kotak-mahindra-bank-ltd,2,2026-06-22
Adani Enterprises Ltd,ADANIENT,₹3009.8,28.10,-0.92,https://www.angelone.in/stocks/adani-enterprises-ltd,2,2026-06-22
Titan Company Ltd,TITAN,₹4386.05,37.15,-0.84,https://www.angelone.in/stocks/titan-company-ltd,2,2026-06-22
Mahindra & Mahindra Ltd,M&M,₹3089.0,14.30,0.47,https://www.angelone.in/stocks/mahindra-mahindra-ltd,2,2026-06-22
